,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_discriminator_dim,params_embedding_dim,params_epochs,params_generator_dim,params_learning_rate,state
0,0,0.24674249999999998,2024-12-18 16:33:44.949783,2024-12-18 16:34:35.879685,0 days 00:00:50.929902,160,"128,256,128",448,18,"128,128",0.00047464720868382464,COMPLETE
1,1,-0.5176955,2024-12-18 16:34:35.880271,2024-12-18 16:35:23.419144,0 days 00:00:47.538873,256,"128,128",128,8,"128,128",2.2372417121366624e-05,COMPLETE
2,2,-0.20025649999999995,2024-12-18 16:35:23.419928,2024-12-18 16:36:11.858966,0 days 00:00:48.439038,128,"128,256,128",448,8,"128,256,128",0.0034662200491695143,COMPLETE
3,3,-0.794818,2024-12-18 16:36:11.859485,2024-12-18 16:36:58.039207,0 days 00:00:46.179722,224,"256,256",512,4,"256,256",0.0002881282364662295,COMPLETE
4,4,-3.134329,2024-12-18 16:36:58.039716,2024-12-18 16:37:47.626296,0 days 00:00:49.586580,128,"128,256,128",512,14,"128,256,128",0.0020545860774630253,COMPLETE
5,5,-0.7760705,2024-12-18 16:37:47.626981,2024-12-18 16:38:34.246998,0 days 00:00:46.620017,224,"128,256,128",448,8,"128,256,128",7.900055395186251e-05,COMPLETE
6,6,-1.375884,2024-12-18 16:38:34.247495,2024-12-18 16:39:24.233384,0 days 00:00:49.985889,64,"128,256,128",320,14,"256,256",0.007364894464606954,COMPLETE
7,7,-0.58702,2024-12-18 16:39:24.233931,2024-12-18 16:40:13.184203,0 days 00:00:48.950272,192,"256,256",192,12,"128,128",1.976754190873916e-05,COMPLETE
8,8,0.27927700000000005,2024-12-18 16:40:13.184845,2024-12-18 16:41:01.035131,0 days 00:00:47.850286,128,"128,128",384,14,"128,256,128",0.0003148238929681415,COMPLETE
9,9,-0.6389685,2024-12-18 16:41:01.035753,2024-12-18 16:41:49.269629,0 days 00:00:48.233876,128,"128,256,128",128,20,"128,256,128",5.085544937964275e-05,COMPLETE
10,10,-0.5163515000000001,2024-12-18 16:41:49.270269,2024-12-18 16:42:39.489155,0 days 00:00:50.218886,64,"128,128",320,2,"128,256,128",0.0004932071797467704,COMPLETE
11,11,-1.5443679999999997,2024-12-18 16:42:39.489783,2024-12-18 16:43:20.999978,0 days 00:00:41.510195,160,"128,128",384,20,"128,128",0.0004361695006018231,COMPLETE
12,12,-1.188801,2024-12-18 16:43:21.000661,2024-12-18 16:44:02.133436,0 days 00:00:41.132775,160,"128,128",384,16,"128,128",0.00015519470110622274,COMPLETE
13,13,0.5773659999999999,2024-12-18 16:44:02.134021,2024-12-18 16:44:48.524157,0 days 00:00:46.390136,96,"128,128",256,18,"128,128",0.001091958019927546,COMPLETE
