,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_discriminator_dim,params_embedding_dim,params_epochs,params_generator_dim,params_learning_rate,state
0,0,-0.0916495,2024-12-17 11:44:32.041144,2024-12-17 11:45:08.302395,0 days 00:00:36.261251,256,"128,128",128,16,"128,128",0.0007552385588578953,COMPLETE
1,1,-1.8986605,2024-12-17 11:45:08.303043,2024-12-17 11:45:45.560007,0 days 00:00:37.256964,160,"128,256,128",512,18,"256,256",0.0010281149955347036,COMPLETE
2,2,-0.968693,2024-12-17 11:45:45.560879,2024-12-17 11:46:25.649266,0 days 00:00:40.088387,160,"256,256",448,20,"256,256",3.311122839491897e-05,COMPLETE
3,3,-0.6692130000000001,2024-12-17 11:46:25.649750,2024-12-17 11:47:02.045568,0 days 00:00:36.395818,160,"128,128",512,10,"128,256,128",2.9579318762952458e-05,COMPLETE
4,4,-0.888952,2024-12-17 11:47:02.046075,2024-12-17 11:47:34.613095,0 days 00:00:32.567020,256,"128,128",128,2,"256,256",0.00044661631236158614,COMPLETE
5,5,-0.40973600000000004,2024-12-17 11:47:34.613675,2024-12-17 11:48:13.369235,0 days 00:00:38.755560,192,"256,256",128,2,"256,256",0.0006792124158620276,COMPLETE
6,6,-1.0818025,2024-12-17 11:48:13.369836,2024-12-17 11:48:50.720053,0 days 00:00:37.350217,224,"256,256",512,12,"128,128",0.0001937012541392951,COMPLETE
7,7,0.11104900000000001,2024-12-17 11:48:50.720822,2024-12-17 11:49:30.936477,0 days 00:00:40.215655,128,"128,256,128",384,20,"128,128",0.0025469543259927633,COMPLETE
8,8,-7.069370999999999,2024-12-17 11:49:30.937003,2024-12-17 11:50:10.148644,0 days 00:00:39.211641,128,"128,256,128",128,16,"128,256,128",0.0027282320734507487,COMPLETE
9,9,-0.788988,2024-12-17 11:50:10.149170,2024-12-17 11:50:46.678808,0 days 00:00:36.529638,224,"128,256,128",448,4,"128,256,128",0.00021039801715224614,COMPLETE
10,10,-0.6506695,2024-12-17 11:50:46.679430,2024-12-17 11:51:28.223978,0 days 00:00:41.544548,64,"128,256,128",320,10,"128,128",0.007371480541070449,COMPLETE
11,11,-0.9802834999999999,2024-12-17 11:51:28.224706,2024-12-17 11:52:04.232056,0 days 00:00:36.007350,96,"128,128",256,14,"128,128",0.002695238093634472,COMPLETE
12,12,-0.27439999999999987,2024-12-17 11:52:04.232938,2024-12-17 11:52:41.749782,0 days 00:00:37.516844,96,"128,128",256,20,"128,128",0.002012675981999339,COMPLETE
13,13,-0.7363495,2024-12-17 11:52:41.750329,2024-12-17 11:53:16.650773,0 days 00:00:34.900444,256,"128,256,128",384,16,"128,128",9.059821325469087e-05,COMPLETE
14,14,-0.16785499999999998,2024-12-17 11:53:16.651364,2024-12-17 11:53:52.255801,0 days 00:00:35.604437,128,"128,128",320,18,"128,128",0.009811996163060718,COMPLETE
15,15,-1.8488230000000003,2024-12-17 11:53:52.256313,2024-12-17 11:54:25.532791,0 days 00:00:33.276478,192,"128,256,128",192,14,"128,128",0.0012505002724725477,COMPLETE
16,16,-0.17066199999999987,2024-12-17 11:54:25.533286,2024-12-17 11:54:58.919071,0 days 00:00:33.385785,128,"128,128",384,8,"128,128",0.0038388751988937342,COMPLETE
17,17,-0.6308175,2024-12-17 11:54:58.919612,2024-12-17 11:55:35.021638,0 days 00:00:36.102026,64,"128,128",256,18,"128,128",9.48279160068831e-05,COMPLETE
18,18,0.12050799999999995,2024-12-17 11:55:35.022319,2024-12-17 11:56:10.891464,0 days 00:00:35.869145,192,"128,256,128",384,20,"128,128",0.0005666472906774974,COMPLETE
19,19,-0.678408,2024-12-17 11:56:10.891976,2024-12-17 11:56:43.874840,0 days 00:00:32.982864,192,"128,256,128",384,20,"128,256,128",1.2875434182075043e-05,COMPLETE
20,20,-0.7672589999999999,2024-12-17 11:56:43.875372,2024-12-17 11:57:18.470883,0 days 00:00:34.595511,96,"128,256,128",448,6,"128,128",0.0003491204119260529,COMPLETE
21,21,0.225443,2024-12-17 11:57:18.471531,2024-12-17 11:57:52.010795,0 days 00:00:33.539264,224,"128,256,128",320,16,"128,128",0.0008209288915760033,COMPLETE
22,22,-0.6115835000000001,2024-12-17 11:57:52.011288,2024-12-17 11:58:24.949135,0 days 00:00:32.937847,224,"128,256,128",384,20,"128,128",0.0013184926483109194,COMPLETE
23,23,0.37684699999999993,2024-12-17 11:58:24.949722,2024-12-17 11:59:00.298011,0 days 00:00:35.348289,192,"128,256,128",320,18,"128,128",0.0005927163896110511,COMPLETE
24,24,-0.7518525,2024-12-17 11:59:00.298571,2024-12-17 11:59:35.338912,0 days 00:00:35.040341,192,"128,256,128",320,14,"128,128",0.00020591630750556954,COMPLETE
